code	segment	plot_dot1	IC_down_cn1	IC_up_cn1	plot_dot2	IC_down_cn2	IC_up_cn2	plot_dot3	IC_down_cn3	IC_up_cn3	chr	type	chrom
1	gain	chr1-144896319-249200985-gain	0.372413793103448	0.278571428571429	0.46	NA	NA	NA	NA	NA	NA	chr1	gain	1
11	LOH	chr1-762601-121324542-LOH	0.172727272727273	0.10377358490566	0.236842105263158	NA	NA	NA	NA	NA	NA	chr1	LOH	1
3	gain	chr3-93506547-197845233-gain	0.363934426229508	0.26530612244898	0.455896857405263	NA	NA	NA	NA	NA	NA	chr3	gain	3
4	gain	chr3-60596-90504645-gain	0.317307692307692	0.228476821192053	0.408668730650155	NA	NA	NA	NA	NA	NA	chr3	gain	3
5	gain	chr6-205800-170985493-gain	0.375711574952562	0.304093567251462	0.44362292051756	NA	NA	NA	NA	NA	NA	chr6	gain	6
6	gain	chr7-80500-159122935-gain	0.360759493670886	0.286186574554371	0.431211498973306	NA	NA	NA	NA	NA	NA	chr7	gain	7
7	gain	chr9-71031528-141058424-gain	0.233532934131737	0.130434782608696	0.344827586206897	NA	NA	NA	NA	NA	NA	chr9	gain	9
8	gain	chr9-203761-38773520-gain	0.493670886075949	0.342281879194631	0.62874251497006	NA	NA	NA	NA	NA	NA	chr9	gain	9
21	LOH	chr10-93528-135235890-LOH	0.369565217391304	0.295454545454545	0.43205574912892	NA	NA	NA	NA	NA	NA	chr10	LOH	10
2	gain	chr15-20061079-102431166-gain	0.308571428571429	0.196428571428571	0.440217391304348	NA	NA	NA	NA	NA	NA	chr15	gain	15
