code	segment	plot_dot1	IC_down_cn1	IC_up_cn1	plot_dot2	IC_down_cn2	IC_up_cn2	plot_dot3	IC_down_cn3	IC_up_cn3	chr	type	chrom
1	gain	chr1-7247979-11929172-gain	0.220183486238532	0.0865384615384615	0.365217391304348	NA	NA	NA	NA	NA	NA	chr1	gain	1
2	gain	chr1-39432950-47945647-gain	0.183962264150943	0.101941747572816	0.286363636363636	NA	NA	NA	NA	NA	NA	chr1	gain	1
3	gain	chr1-84734894-92240753-gain	0.232558139534884	0.0975609756097561	0.355555555555556	NA	NA	NA	NA	NA	NA	chr1	gain	1
4	gain	chr1-93337494-98858039-gain	0.357142857142857	0.201680672268908	0.496240601503759	NA	NA	NA	NA	NA	NA	chr1	gain	1
14	gain	chr2-4320265-12035555-gain	0.289156626506024	0.169811320754717	0.398843930635838	NA	NA	NA	NA	NA	NA	chr2	gain	2
15	gain	chr2-18185158-26247336-gain	0.170212765957447	0.0661764705882353	0.267588062622309	NA	NA	NA	NA	NA	NA	chr2	gain	2
16	gain	chr3-133495673-138210855-gain	0.367647058823529	0.246153846153846	0.490654205607477	NA	NA	NA	NA	NA	NA	chr3	gain	3
17	gain	chr3-139701495-143773117-gain	0.4125	0.276315789473684	0.550295857988166	NA	NA	NA	NA	NA	NA	chr3	gain	3
18	gain	chr4-11427419-21090037-gain	0.365853658536585	0.244897959183673	0.476635514018692	NA	NA	NA	NA	NA	NA	chr4	gain	4
19	gain	chr4-144174576-151039563-gain	0.208092485549133	0.107784431137725	0.316666666666667	NA	NA	NA	NA	NA	NA	chr4	gain	4
20	gain	chr4-159124368-166047438-gain	0.491525423728814	0.357142857142857	0.612903225806452	NA	NA	NA	NA	NA	NA	chr4	gain	4
21	gain	chr4-59839309-66597479-gain	0.316582914572864	0.204188481675393	0.432692307692308	NA	NA	NA	NA	NA	NA	chr4	gain	4
22	gain	chr5-137935044-145600690-gain	0.357142857142857	0.225	0.496240601503759	NA	NA	NA	NA	NA	NA	chr5	gain	5
23	gain	chr5-151888663-157710458-gain	0.268292682926829	0.128205128205128	0.395849731663685	NA	NA	NA	NA	NA	NA	chr5	gain	5
24	gain	chr5-76938218-84139840-gain	0.364285714285714	0.204545454545455	0.523489932885906	NA	NA	NA	NA	NA	NA	chr5	gain	5
25	gain	chr6-130600994-139139274-gain	0.425675675675676	0.278571428571429	0.557692307692308	NA	NA	NA	NA	NA	NA	chr6	gain	6
26	gain	chr6-50785297-56852041-gain	0.290322580645161	0.152542372881356	0.435114503816794	NA	NA	NA	NA	NA	NA	chr6	gain	6
27	gain	chr6-64928872-78338744-gain	0.549152542372881	0.445229681978799	0.660194174757282	NA	NA	NA	NA	NA	NA	chr6	gain	6
28	gain	chr7-92286980-102385307-gain	0.305084745762712	0.194117647058824	0.421621621621622	NA	NA	NA	NA	NA	NA	chr7	gain	7
29	gain	chr7-14339975-23109124-gain	0.411504424778761	0.291666666666667	0.521186440677966	NA	NA	NA	NA	NA	NA	chr7	gain	7
30	gain	chr7-150455295-158277204-gain	0.395121951219512	0.289340101522843	0.516279069767442	NA	NA	NA	NA	NA	NA	chr7	gain	7
31	gain	chr7-32535437-38680794-gain	0.3984375	0.247933884297521	0.551470588235294	NA	NA	NA	NA	NA	NA	chr7	gain	7
32	gain	chr7-42985629-47019658-gain	0.504	0.333333333333333	0.654135338345865	NA	NA	NA	NA	NA	NA	chr7	gain	7
33	gain	chr7-47103314-52035464-gain	0.38135593220339	0.216216216216216	0.528	NA	NA	NA	NA	NA	NA	chr7	gain	7
34	gain	chr8-33818818-39170959-gain	0.432203389830509	0.294642857142857	0.595238095238095	NA	NA	NA	NA	NA	NA	chr8	gain	8
35	gain	chr8-62712241-68977761-gain	0.352941176470588	0.212389380530973	0.5	NA	NA	NA	NA	NA	NA	chr8	gain	8
36	gain	chr9-110628820-115721389-gain	0.478991596638655	0.297297297297297	0.637795275590551	NA	NA	NA	NA	NA	NA	chr9	gain	9
