code	segment	plot_dot1	IC_down_cn1	IC_up_cn1	plot_dot2	IC_down_cn2	IC_up_cn2	plot_dot3	IC_down_cn3	IC_up_cn3	chr	type	chrom
6	gain	chr2-184560388-192468143-gain	0.247252747252747	0.137142857142857	0.363157894736842	NA	NA	NA	NA	NA	NA	chr2	gain	2
7	gain	chr2-214622315-221540558-gain	0.409937888198758	0.256578947368421	0.547058823529412	NA	NA	NA	NA	NA	NA	chr2	gain	2
8	gain	chr2-229154463-234249921-gain	0.214285714285714	0.0991735537190083	0.340909090909091	NA	NA	NA	NA	NA	NA	chr2	gain	2
10	gain	chr3-149685233-156260245-gain	0.507042253521127	0.358208955223881	0.655629139072848	NA	NA	NA	NA	NA	NA	chr3	gain	3
11	gain	chr3-42066505-55767733-gain	0.343612334801762	0.23394495412844	0.455696202531646	NA	NA	NA	NA	NA	NA	chr3	gain	3
12	gain	chr4-107281769-115173835-gain	0.261627906976744	0.145454545454545	0.383333333333333	NA	NA	NA	NA	NA	NA	chr4	gain	4
13	gain	chr5-86237570-96862621-gain	0.306976744186047	0.20255909666526	0.415178571428572	NA	NA	NA	NA	NA	NA	chr5	gain	5
14	gain	chr6-50081818-55196039-gain	0.346153846153846	0.217741935483871	0.5	NA	NA	NA	NA	NA	NA	chr6	gain	6
15	gain	chr7-96558287-103644375-gain	0.370588235294118	0.240740740740741	0.502793296089385	NA	NA	NA	NA	NA	NA	chr7	gain	7
16	gain	chr7-129204325-134392081-gain	0.297297297297297	0.142857142857143	0.435897435897436	NA	NA	NA	NA	NA	NA	chr7	gain	7
17	gain	chr8-101226713-106954208-gain	0.227272727272727	0.0952380952380952	0.366906474820144	NA	NA	NA	NA	NA	NA	chr8	gain	8
18	gain	chr8-17539206-21208776-gain	0.425531914893617	0.270676691729323	0.563758389261745	NA	NA	NA	NA	NA	NA	chr8	gain	8
19	gain	chr8-49851538-53966268-gain	0.454545454545455	0.290322580645161	0.6	NA	NA	NA	NA	NA	NA	chr8	gain	8
20	gain	chr9-18577062-26063296-gain	0.404255319148936	0.26865671641791	0.543624161073825	NA	NA	NA	NA	NA	NA	chr9	gain	9
1	gain	chr10-100340086-107390167-gain	0.27027027027027	0.141509433962264	0.432203389830509	NA	NA	NA	NA	NA	NA	chr10	gain	10
2	gain	chr10-45264421-49789479-gain	0.0517241379310345	0	0.126050420168067	NA	NA	NA	NA	NA	NA	chr10	gain	10
3	gain	chr12-93821985-101556643-gain	0.237804878048781	0.132911392405063	0.366279069767442	NA	NA	NA	NA	NA	NA	chr12	gain	12
4	gain	chr13-57113186-61780868-gain	0.258278145695364	0.144827586206897	0.379746835443038	NA	NA	NA	NA	NA	NA	chr13	gain	13
5	gain	chr15-79105576-86200699-gain	0.361702127659574	0.223880597014925	0.503355704697987	NA	NA	NA	NA	NA	NA	chr15	gain	15
9	gain	chr20-29471031-31329704-gain	1.11290322580645	1.0253164556962	1.2	NA	NA	NA	NA	NA	NA	chr20	gain	20
