code	segment	plot_dot1	IC_down_cn1	IC_up_cn1	plot_dot2	IC_down_cn2	IC_up_cn2	plot_dot3	IC_down_cn3	IC_up_cn3	chr	type	chrom
1	gain	chr1-215255977-219058700-gain	0.267857142857143	0.1395124316699	0.406779661016949	NA	NA	NA	NA	NA	NA	chr1	gain	1
2	gain	chr1-239589017-244454832-gain	0.375	0.212389380530973	0.519685039370079	NA	NA	NA	NA	NA	NA	chr1	gain	1
3	gain	chr1-28634681-34809903-gain	0.304054054054054	0.170212765957447	0.425806451612903	NA	NA	NA	NA	NA	NA	chr1	gain	1
4	gain	chr1-67592114-73305782-gain	0.375	0.240875912408759	0.529411764705882	NA	NA	NA	NA	NA	NA	chr1	gain	1
25	gain	chr2-101151830-109893210-gain	0.278761061946903	0.178899082568807	0.382978723404255	NA	NA	NA	NA	NA	NA	chr2	gain	2
26	gain	chr2-19000112-33630165-gain	0.232258064516129	0.149501661129568	0.31875	NA	NA	NA	NA	NA	NA	chr2	gain	2
27	gain	chr2-208614615-213611221-gain	0.319148936170213	0.199477611940299	0.445945945945946	NA	NA	NA	NA	NA	NA	chr2	gain	2
28	gain	chr2-214628482-222150408-gain	0.375	0.25130890052356	0.488038277511962	NA	NA	NA	NA	NA	NA	chr2	gain	2
29	gain	chr2-223219087-240516749-gain	0.348341232227488	0.270731707317073	0.427586206896552	NA	NA	NA	NA	NA	NA	chr2	gain	2
30	gain	chr2-44096259-49087151-gain	0.208333333333333	0.0869565217391304	0.337748344370861	NA	NA	NA	NA	NA	NA	chr2	gain	2
31	gain	chr2-77481065-82248571-gain	0.315789473684211	0.186206896551724	0.45	NA	NA	NA	NA	NA	NA	chr2	gain	2
36	gain	chr3-7763665-15250000-gain	0.401673640167364	0.2882096069869	0.516	NA	NA	NA	NA	NA	NA	chr3	gain	3
37	gain	chr3-105000024-113202165-gain	0.301369863013699	0.185714285714286	0.407894736842105	NA	NA	NA	NA	NA	NA	chr3	gain	3
38	gain	chr3-176270688-183138311-gain	0.204081632653061	0.125874125874126	0.278145695364238	NA	NA	NA	NA	NA	NA	chr3	gain	3
39	gain	chr3-25964274-53023373-gain	0.263513513513513	0.202072538860104	0.326732673267327	NA	NA	NA	NA	NA	NA	chr3	gain	3
40	gain	chr3-2654465-5806750-gain	0.263157894736842	0.137614678899083	0.400537190082644	NA	NA	NA	NA	NA	NA	chr3	gain	3
41	gain	chr4-147157088-152799883-gain	0.232558139534884	0.0975609756097561	0.355555555555556	NA	NA	NA	NA	NA	NA	chr4	gain	4
42	gain	chr4-177980810-182054960-gain	0.36	0.203389830508475	0.5	NA	NA	NA	NA	NA	NA	chr4	gain	4
43	gain	chr4-21380594-26219793-gain	0.451127819548872	0.288	0.579000759878419	NA	NA	NA	NA	NA	NA	chr4	gain	4
44	gain	chr4-43003968-49091044-gain	0.2	0.0923076923076923	0.319148936170213	NA	NA	NA	NA	NA	NA	chr4	gain	4
45	gain	chr4-4305867-8642282-gain	0.219512195121951	0.101694915254237	0.348837209302326	NA	NA	NA	NA	NA	NA	chr4	gain	4
46	gain	chr4-80989904-92216734-gain	0.378947368421053	0.283388520238885	0.484848484848485	NA	NA	NA	NA	NA	NA	chr4	gain	4
47	gain	chr5-101637564-111452954-gain	0.285171102661597	0.188976377952756	0.384615384615385	NA	NA	NA	NA	NA	NA	chr5	gain	5
48	gain	chr5-849504-6418912-gain	0.515337423312883	0.37012987012987	0.645348837209302	NA	NA	NA	NA	NA	NA	chr5	gain	5
49	gain	chr5-162785956-171494178-gain	0.316455696202532	0.210526315789474	0.414634146341463	NA	NA	NA	NA	NA	NA	chr5	gain	5
50	gain	chr5-20150939-26937311-gain	0.195652173913043	0.101123595505618	0.298429319371728	NA	NA	NA	NA	NA	NA	chr5	gain	5
51	gain	chr5-30547550-35329543-gain	0.328125	0.173553719008264	0.485294117647059	NA	NA	NA	NA	NA	NA	chr5	gain	5
52	gain	chr5-65832252-74125262-gain	0.458333333333333	0.288888888888889	0.592105263157895	NA	NA	NA	NA	NA	NA	chr5	gain	5
53	gain	chr5-75034387-85246413-gain	0.45	0.359223300970874	0.54954954954955	NA	NA	NA	NA	NA	NA	chr5	gain	5
54	gain	chr6-10847258-22314251-gain	0.292134831460674	0.197674418604651	0.389891696750902	NA	NA	NA	NA	NA	NA	chr6	gain	6
55	gain	chr6-68451716-76236061-gain	0.454054054054054	0.323863636363636	0.596938775510204	NA	NA	NA	NA	NA	NA	chr6	gain	6
56	gain	chr6-91049908-96372252-gain	0.24	0.125	0.366412213740458	NA	NA	NA	NA	NA	NA	chr6	gain	6
57	gain	chr7-13884489-17778032-gain	0.384	0.228813559322034	0.522727272727273	NA	NA	NA	NA	NA	NA	chr7	gain	7
58	gain	chr7-141120663-147270143-gain	0.616935483870968	0.50606495387256	0.726923076923077	NA	NA	NA	NA	NA	NA	chr7	gain	7
59	gain	chr7-147299615-152731789-gain	0.732718894009217	0.623188405797101	0.860869565217391	NA	NA	NA	NA	NA	NA	chr7	gain	7
60	gain	chr7-20512364-31482348-gain	0.350649350649351	0.252525252525253	0.45	NA	NA	NA	NA	NA	NA	chr7	gain	7
61	gain	chr7-47074382-49852393-gain	0.31858407079646	0.168224299065421	0.454311974789915	NA	NA	NA	NA	NA	NA	chr7	gain	7
62	gain	chr7-80765633-93087768-gain	0.246056782334385	0.165584415584416	0.338414634146341	NA	NA	NA	NA	NA	NA	chr7	gain	7
